# 标准病库格式
# 格式：疾病名|关键词1,关键词2,关键词3|优先级
# 关键词用逗号分隔，优先级1-100

# 呼吸系统
急性会厌炎|突发剧烈咽痛,吞咽困难,呼吸困难,流涎,窒息风险|95
声带息肉|持续性声音嘶哑,职业用声者多见|60
声带结节|声音嘶哑,双侧声带前中1/3交界处小结|60
鼻咽癌|回吸涕带血,鼻塞,耳鸣,颈部无痛性包块|85
鼻腔异物|儿童单侧鼻塞,流恶臭脓涕|65
耵聍栓塞|耳闷,听力减退,外耳道黑色硬块|50
外耳道炎|耳痛,牵拉痛,外耳道红肿,瘙痒|60
耳廓假性囊肿|耳廓外侧面无痛性囊性隆起,透光|55
嗅觉障碍|嗅觉减退或丧失,常因鼻炎外伤或病毒感染后|55

# 口腔科
龋病|牙体黑褐色龋洞,冷热酸甜激发痛|55
牙髓炎|自发性阵发剧痛,夜间加重,疼痛不能定位|75
根尖周炎|持续性钝痛,患牙浮出感,咬合痛,牙龈瘘管|70
牙周炎|牙龈红肿出血,深牙周袋,牙槽骨吸收,牙齿松动|60
牙龈炎|牙龈红肿出血,刷牙时明显,无牙周袋|60
智齿冠周炎|智齿区肿痛,张口受限,可伴发热面部肿胀|70
口腔溃疡|口腔黏膜圆形浅溃疡,黄红凹痛,反复发作|55
口腔白斑|口腔黏膜白色斑块,不可擦去,吸烟相关,恶变潜能|65
口腔扁平苔藓|口腔黏膜网状白色条纹或糜烂,灼痛,病程迁延|60
口腔念珠菌病|黏膜白色假膜,易擦去,婴幼儿或免疫低下者多见|65
颌面部间隙感染|牙源性感染扩散,面颊部肿胀,张口受限,高热,压迫气道|85
涎石症|进食时颌下区肿胀疼痛,导管口溢脓,可扪及结石|70
颌骨骨髓炎|牙源性感染致颌骨疼痛,瘘管,死骨形成|80
颞下颌关节紊乱|张口弹响或疼痛,咀嚼肌痉挛,下颌运动异常|60
复发性阿弗他溃疡|口腔黏膜圆形浅溃疡,黄红凹痛,反复发作|55

# 皮肤科
湿疹|对称分布多形性皮疹,渗液结痂,剧烈瘙痒|60
皮炎|皮肤红斑,丘疹,瘙痒,边界不清|60
接触性皮炎|接触部位红斑肿胀水疱,边界清楚,瘙痒|65
神经性皮炎|苔藓化肥厚斑块,阵发性剧痒,好发颈项等处|60
银屑病|红斑上覆银白色鳞屑,薄膜现象及点状出血|70
荨麻疹|风团,瘙痒,时起时消,过敏|70
药疹|用药后突发皮疹,形态多样,可伴发热瘙痒|80
带状疱疹|单侧簇集水疱,沿神经走行分布,明显神经痛|75
单纯疱疹|口唇或生殖器周围簇集性小水疱,灼热痒痛,易复发|55
疣|皮肤赘生物,表面粗糙,HPV感染|50
寻常疣|手部等灰褐色丘疹,表面粗糙,乳头状增生|50
跖疣|足底角化性丘疹,小黑点,压痛明显|55
传染性软疣|半球形蜡样光泽丘疹,脐凹,可挤出干酪样物|50
痤疮|面部胸背粉刺丘疹脓疱结节|55
脂溢性皮炎|头皮眉弓油腻性黄红色斑鳞屑,痒|55
黄褐斑|面部对称蝴蝶状黄褐色色素沉着|50
白癜风|皮肤色素完全脱失斑,边缘清楚|55
斑秃|头发突然圆形或椭圆形脱落,边界清|55
脱发|头发脱落增多,可见头皮|55
甲沟炎|甲周红肿疼痛化脓,常由嵌甲或微小创伤引起|60
脓疱疮|皮肤脓疱,蜜黄色结痂,传染性强|65
疖|毛囊及周围组织急性化脓性炎症,红肿热痛|65
痈|多个相邻毛囊及周围组织化脓性炎症,大片红肿|70
蜂窝织炎|皮肤深层感染,红肿热痛,边界不清,常伴发热|75
丹毒|皮肤及网状淋巴管急性炎症,边界清楚,红肿热痛|80
皮肤癣|皮肤真菌感染,环形红斑,边缘隆起,脱屑|60
足癣|趾间糜烂脱屑瘙痒,真菌感染|70
手癣|手掌水疱脱屑,真菌感染|60
体癣|躯干四肢环形红斑,边缘隆起,脱屑|60
股癣|腹股沟臀部环形红斑,边缘隆起,脱屑|60
疥疮|指缝腕屈侧隧道及丘疹,夜间剧痒|65
虱病|头皮或阴毛处瘙痒,可见虱子或虫卵|60
梅毒疹|梅毒二期皮疹,多形性,无痛痒|80
真菌感染|皮肤黏膜真菌感染,红斑脱屑,瘙痒|60
细菌感染|皮肤细菌感染,红肿热痛,化脓|70
基底细胞癌|面部慢性不愈溃疡,边缘珍珠状隆起,缓慢扩大|70
鳞状细胞癌|慢性溃疡或菜花样结节,边缘不规则,淋巴结转移|75
恶性黑色素瘤|色素痣快速增大,形状不对称,颜色不均,瘙痒破溃|90
皮肤癌|皮肤溃疡,结节,色素沉着,快速生长|75
玫瑰糠疹|躯干先出现母斑,后泛发鳞屑性红斑,沿皮纹排列|55
扁平苔藓|紫红色多角形扁平丘疹,剧烈瘙痒,Wickham纹|60
毛发苔藓|上臂大腿伸侧粟粒大小毛囊性丘疹,粗糙|50
多汗症|全身或局部出汗过多,手足腋下常见|50
腋臭|腋下特殊臭味,顶泌汗腺分泌引起|50
化脓性汗腺炎|腋下腹股沟反复痛性结节脓肿窦道|70
瘢痕疙瘩|瘢痕增生超出原损伤范围,质硬,瘙痒|60
脂肪瘤|皮下无痛性柔软肿物,可移动,生长缓慢|55
皮脂腺囊肿|皮下圆形肿物,中央有黑头,可挤出豆渣样物|60

# 精神心理科
抑郁症|持续情绪低落,兴趣丧失,快感缺失,精力减退,持续2周以上|75
焦虑症|过度担忧,紧张,心悸,坐立不安,失眠|70
广泛性焦虑障碍|过度担忧,紧张,心悸,坐立不安,失眠|70
惊恐障碍|反复惊恐发作,濒死感,心悸胸闷,担忧再发|75
强迫症|反复出现强迫思维和或强迫行为,自知无力控制|70
双相情感障碍|抑郁与躁狂或轻躁狂发作交替,显著情绪波动|75
精神分裂症|幻觉,妄想,言行紊乱,情感淡漠|80
失眠障碍|入睡困难,睡眠维持困难或早醒,影响日间功能|65
睡眠障碍|睡眠质量差,入睡困难,早醒,多梦|65
创伤后应激障碍|创伤事件后持续警觉,闪回,回避,病程超过1月|75
躯体形式障碍|持续存在的多种躯体症状,反复检查阴性,过度关注健康|65
转换障碍|心理因素引起的不自主运动或感觉功能障碍,无器质性病变|65
适应障碍|生活环境改变后出现情绪行为问题,影响社会功能|60
进食障碍|神经性厌食或贪食,体重明显改变|70
神经性厌食|刻意限制饮食,体重明显低于正常,怕胖|70
神经性贪食|反复发作暴食,代偿行为,体重波动|70
酒精依赖|对酒精的强烈渴求,耐受性增加,戒断症状|75
物质依赖|对精神活性物质的强烈渴求,耐受性增加,戒断症状|75
成瘾|对某种物质或行为的强烈渴求,无法控制|70
认知障碍|记忆力下降,定向力障碍,计算力下降|70
痴呆|进行性认知功能下降,影响日常生活|75
谵妄|急性意识障碍,注意力涣散,感知觉异常|80

# 中毒与急救
一氧化碳中毒|头痛,呕吐,意识障碍,皮肤樱桃红色,碳氧血红蛋白增高|95
有机磷中毒|流涎,大汗,瞳孔缩小,肌颤,肺水肿,胆碱酯酶降低|95
药物中毒|服药后恶心呕吐,意识障碍,心律失常,肝肾功能损害|85
酒精中毒|呼气酒味,欣快,共济失调,昏迷|80
食物中毒|进食不洁食物后呕吐腹泻腹痛,可集体发病|75
中暑|高热,无汗,意识障碍,环境高温暴露|90
溺水|呼吸道淹溺,缺氧,意识障碍,肺水肿|95
电击伤|电流通过人体,心跳呼吸骤停,烧伤|95
烧伤|热力致皮肤组织损伤,红肿水疱焦痂|80
冻伤|低温致皮肤组织损伤,红肿水疱坏死|70

# 创伤外科
外伤|外力致组织损伤,出血,疼痛,功能障碍|80
多发伤|同一机械因素致两个及以上部位损伤|90
复合伤|两种及以上致伤因素同时或相继作用|90
颅脑损伤|头部外伤后意识障碍,头痛呕吐,神经功能缺损|95
脑震荡|头部外伤后短暂意识丧失,逆行性遗忘,无器质性损害|70
脑挫裂伤|头部外伤后意识障碍,局灶神经体征,CT低密度灶|85
硬膜外血肿|头部外伤后意识障碍,中间清醒期,CT双凸透镜形高密度|90
硬膜下血肿|头部外伤后意识障碍,进行性加重,CT新月形高密度|90
颅内血肿|颅内出血形成血肿,占位效应,颅内压增高|95
头皮裂伤|头皮全层裂伤,出血,需清创缝合|70
头皮血肿|头皮下血肿,波动感,边界清楚|60
气胸|胸部外伤或自发,胸痛,呼吸困难,患侧呼吸音减弱|90
血胸|胸部外伤后胸腔积血,呼吸困难,休克|90
肺挫伤|胸部外伤后肺组织损伤,咯血,呼吸困难|85
肋骨骨折|胸部外伤后胸痛,呼吸受限,骨擦感|80
血气胸|胸部外伤后胸腔积血积气,呼吸困难,休克|95
肝破裂|腹部外伤后腹痛,休克,腹膜刺激征|95
脾破裂|腹部外伤后左上腹痛,休克,腹膜刺激征|95
肾挫伤|腰部外伤后血尿,腰痛,腰部压痛|85
肠穿孔|腹部外伤或自发,剧烈腹痛,腹膜刺激征,膈下游离气体|95
腹膜后血肿|腹部骨盆外伤后腰背部疼痛,休克,腹部压痛|85
骨盆骨折|骨盆外伤后疼痛,畸形,活动受限,休克|90
脊柱骨折|脊柱外伤后疼痛,畸形,活动受限,神经损伤|90
脊髓损伤|脊柱外伤后损伤平面以下感觉运动障碍,大小便障碍|95
四肢骨折|肢体外伤后疼痛,肿胀,畸形,异常活动|85
关节脱位|关节畸形,弹性固定,关节盂空虚|85
软组织挫伤|外伤后局部肿胀疼痛,皮下瘀斑|60
挤压综合征|肌肉丰富部位长时间受压,肌红蛋白尿,急性肾损伤|90
脂肪栓塞|骨折后突发呼吸困难,意识障碍,皮肤瘀点|90
创伤性休克|严重创伤后有效循环血量减少,组织灌注不足|95

# 其他
营养不良|体重下降,皮下脂肪消失,水肿,精神状态改变|70
维生素缺乏|相应维生素缺乏症状,如夜盲,口角炎,贫血等|65
肥胖|BMI大于等于28,腰围超标,代谢异常|65
消瘦|体重明显下降,皮下脂肪减少,肌肉萎缩|70
水肿|组织间隙液体过多,凹陷性或非凹陷性|60
发热待查|持续发热,原因不明,需进一步检查|70
乏力|全身无力,活动耐力下降,精神不振|55
疼痛|局部或全身疼痛,影响活动|55
头晕|头昏,站立不稳,可伴恶心呕吐|60
头痛|头部疼痛,可局限或弥漫|60
晕厥|短暂意识丧失,迅速恢复,无后遗症|75
昏迷|持续意识丧失,对刺激无反应|95
休克|有效循环血量减少,组织灌注不足,血压下降|95
多器官功能障碍|两个及以上器官功能同时或序贯衰竭|95
脓毒症|感染引起的宿主反应失调,危及生命的器官功能障碍|95
菌血症|血液中存在活菌,可无症状或发热|80
败血症|病原菌侵入血流并生长繁殖,产生毒素|90
